Department Ref Number,Construction Activity (Y/N),County,Development Name,Address 1,Address 2,Planning Ref,Planning Date,Planning Expiry Date,Detached Units,Semi-detached Units,Terraced Units,Apartment Units,Duplex Units,Total All Units,Occupied Houses,Vacant Houses,Near Complete Active Houses,Near Complete Not Active Houses,Wall Plate Active Houses,Wall Plate Not Active Houses,DPC Active Houses,DPC Not Active Houses,Founds Active Houses,Founds Not Active Houses,No Start Houses,Planning Expired Houses,Occupied Apartments,Vacant Apartments,Near Complete Active Apartments,Near Complete Not Active Apartments,Wall Plate Active Apartments,Wall Plate Not Active Apartments,DPC Active Apartments,DPC Not Active Apartments,Founds Active Apartments,Founds Not Active Apartments,No Start Apartments,Plannig Expired Apt,Roads Complete,Road Base Complete,Roads None,Footpaths Complete,Footpaths Not Complete,Lighting Complete,Lighting Not Complete,Water Potable,Water Storm,Water Waste,No OS Areas In Planning Permission,OS Area Complete,OS Area Levelled,OS Area Untouched,Survey Date,Building Site Only,,Occupied Houses Impacted,Occupied Apartments Impacted
2358,No,Roscommon,Quay West,Cooladye,Cootehall,031209 04 1949,10/06/2004,09/06/2009,1,22,0,0,0,23,7,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,11,0,0,11,11,11,11,3,3,0,0,04/08/2017,No,,1,0
2363,No,Roscommon,Rosshill,Galway Road,Roscommon,41828,28/02/2006,27/02/2013,52,194,105,4,0,355,0,0,0,4,0,0,0,0,0,30,0,317,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,8,25/07/2017,Yes,1,0,0
2369,No,Roscommon,Silveroe,Frenchpark Road,Boyle,"011598, 041919, PL20.229382","16/01/06, 04/06/08",15/01/2011,28,106,0,0,0,134,12,4,0,22,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,38,0,0,38,38,38,38,2,0,0,2,04/08/2017,No,,12,0
2372,No,Roscommon,The Granary,Charlestown Road,Ballaghaderreen,04/1021,14/10/2004,13/10/2009,0,0,8,4,0,12,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,4,4,4,1,0,1,0,16/08/2017,Yes,1,0,0
2374,Yes,Roscommon,The Maples,Tulsk Road,Strokestown,42173,31/03/2005,30/03/2010,13,24,0,0,0,37,26,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,23,0,0,23,23,23,23,2,2,0,0,29/08/2017,No,,0,0
2376,No,Roscommon,The Paddocks,Athleague,Athleague,"041296 00/974,02/1312,05/1812",24/04/2004,18/11/2016,37,8,0,0,0,45,21,1,0,0,0,1,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,17,17,17,4,2,0,2,19/09/2017,No,,2,0
2377,No,Roscommon,The Plains,Tulsk Road,Ballinagare,650,18/02/2001,19/03/2002,4,28,0,0,0,32,19,2,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,21,0,21,21,21,1,1,0,0,29/08/2017,No,,1,0
2386,No,Roscommon,Woodlands,Ballinlough Road,Loughlynn,"01369, 041977","21/02/02, 01/09/05",31/08/2013,1,20,0,0,0,21,9,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,13,0,13,13,13,4,2,0,2,29/08/2017,No,,4,0
2397,No,Sligo,Swan Point,Fish Quay,Sligo,PD04/99,13/12/2004,12/12/2009,0,0,0,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/08/2017,Yes,1,0,0
2399,No,Sligo,Aylesbury Park,,Sligo,PL08/786 PL09/452,05/06/2009,04/06/2014,2,10,0,0,0,12,6,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,5,5,5,5,1,1,0,0,16/08/2017,No,,2,0
2403,No,Sligo,Avena Mill Apartments,Knockmuldowney,Ballisodare,PL03/808,08/07/2004,07/07/2009,0,0,0,62,11,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,66,0,0,66,0,66,0,66,66,66,0,0,0,0,16/08/2017,Yes,1,0,0
2404,No,Sligo,Avena Mixed Use Development,Village Centre,Ballisodare,PL04/1504,11/07/2005,10/07/2010,0,0,0,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/08/2017,Yes,1,0,0
2411,No,Sligo,Clougher Court,Village Centre,Monasteradden,PL03/639,30/03/2004,29/03/2009,0,0,13,0,0,13,0,0,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,2,0,0,2,24/07/2017,Yes,1,0,0
2428,No,Sligo,Forthaven,Carrownacleigha,Coolaney,PL04/503 & 04/1140,17/11/2004,16/11/2009,8,82,0,0,0,90,52,0,0,8,0,0,0,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,52,0,52,0,52,52,52,2,2,0,0,16/08/2017,No,,2,0
2430,No,Sligo,Grange Dale,N15,Grange,PL06/1341,21/08/2007,20/08/2012,0,0,0,1,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,8,0,0,8,0,8,0,8,8,8,2,0,0,2,16/08/2017,Yes,1,0,0
2446,No,Sligo,John James Maye development,Masshill Road,Tubbercurry,PL01/899,07/03/2002,06/03/2007,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,5,5,5,0,0,0,0,24/07/2017,Yes,1,0,0
2456,No,Sligo,"Development under PP ref. 04/766
",Keenaghan,Ballymote,04/766,21/10/2004,20/10/2009,1,8,0,0,0,9,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,1,0,5,5,5,5,1,1,0,0,16/08/2017,No,,1,0
2457,No,Sligo,Philip Browne Development,Main Street,Aclare,PL05/170,02/03/2006,01/03/2011,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,4,4,4,0,0,0,0,24/07/2017,Yes,1,0,0
2467,No,Sligo,The Fairways,Boyle Road,Tubbercurry,PL04/469,23/09/2004,22/09/2009,7,102,0,32,0,141,67,11,0,0,0,0,0,14,0,0,0,17,16,16,0,0,0,0,0,0,0,0,0,0,14,110,0,124,0,124,0,124,124,124,4,3,0,1,24/07/2017,No,,6,0
2468,No,Sligo,The Fairways,Sligo Road,Ballygawley,PL04/160,25/05/2005,24/05/2010,17,0,0,0,0,17,0,0,0,8,0,2,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,1,1,3,2,0,1,16/08/2017,Yes,1,0,0
2206,Yes,Tipperary,Cardens Court,Mary Street,Templemore,TM/675,02/10/2002,01/02/2007,0,18,23,0,0,41,10,0,0,18,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,12,8,12,8,20,20,20,2,0,2,0,27/07/2017,No,,0,0
2207,No,Tipperary,Carrigderg,Ballycommon,Nenagh,6511255,,23/04/2017,6,6,11,0,0,23,12,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,14,0,14,14,14,1,1,0,0,31/07/2017,No,,1,0
2210,No,Tipperary,Cluain Doire,Kiltillane,Templemore,,,,17,16,21,0,0,54,18,2,0,3,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,20,0,20,20,20,3,0,1,2,27/07/2017,No,,13,0
2213,No,Tipperary,Droim An Oir,Drummin Road,Nenagh,06520083 & 12/52/0008,,23/04/2017,14,236,0,0,0,250,2,2,0,1,0,1,0,3,0,1,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,4,4,4,7,1,0,6,31/07/2017,No,,0,0
2223,No,Tipperary,M Teine,Loughmore Road,Templemore,TM750,03/12/2007,02/12/2012,18,0,0,0,0,18,3,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,3,3,1,0,0,1,27/07/2017,No,,0,0
2226,No,Tipperary,Mulkear View,Murroe Road,Newport,04/51/0479 & 09510128,,14/06/2014,10,50,16,16,0,92,12,3,0,3,0,4,0,2,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,16,21,0,0,18,0,18,0,18,18,18,2,1,1,0,31/07/2017,No,,3,0
2232,No,Tipperary,Springfort Meadows,Old Limerick Road,Nenagh,N323000,,19/01/2015,45,62,17,0,0,124,96,1,0,4,0,2,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,114,4,0,118,0,114,0,118,118,118,1,1,0,0,31/07/2017,No,,13,0
2235,Yes,Tipperary,The Grange,Templemore Road,Roscrea,5510932,23/05/2006,22/05/2016,24,2,3,0,0,29,16,0,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,23,0,23,23,23,2,2,0,0,27/07/2017,No,,1,0
2236,No,Tipperary,The Terrace / Ardan,Nenagh Road,Borrisokane,2510405,14/01/2003,13/01/2008,5,14,29,0,0,48,23,1,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24,0,24,24,24,2,2,0,0,31/07/2017,No,,6,0
2241,No,Tipperary,Whitethorn Hill,Knock Road,Roscrea,4511606,12/08/2005,10/08/2015,2,24,8,0,0,34,9,2,0,0,0,0,0,2,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,11,0,11,11,11,2,1,1,0,27/07/2017,No,,0,0
2962,No,Tipperary,Kingston Heath,"Killeen, Off Portuma Road",Riverstown,05/51/1121,,07/09/2011,17,0,4,0,0,21,0,0,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,19,0,21,0,0,0,1,0,1,0,31/07/2017,Yes,1,0,0
2963,No,Tipperary,Riveroaks,Riverstown,Birr,3511493,,25/03/2009,3,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1,1,1,1,0,0,1,31/07/2017,Yes,1,0,0
2965,No,Tipperary,Ashgrove,Monadreen,Thurles,09/54/0016,19/07/2009,18/07/2011,17,36,14,0,0,67,42,2,0,5,0,6,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,0,51,51,51,51,1,1,0,0,27/07/2017,No,,3,0
2967,No,Tipperary,Hillcrest Manor,Rosarymore,Newport,04/51/1611 & 06/51/1293,,04/02/2015,40,0,0,0,0,40,21,2,0,11,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,26,0,26,26,26,4,2,2,0,31/07/2017,No,,1,0
2971,No,Tipperary,Schoolhouse Row,Main Street,Portroe,02/51/0694,,08/04/2009,2,0,20,0,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,9,13,0,0,0,,,0,0,0,0,31/07/2017,Yes,1,0,0
144,No,Tipperary,Caiseal Na Ri,Golden Road,Cashel,03/447,21/10/2003,20/10/2010,36,52,17,3,0,108,87,9,0,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,98,0,0,98,0,98,0,96,96,96,5,5,0,0,21/07/2017,No,,7,0
146,No,Tipperary,The Steeples ,"Hughes Lot, Dualla Rd",Cashel,05/296,08/03/2006,08/02/2011,7,120,47,0,0,174,49,2,0,0,0,2,0,0,24,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,51,0,51,0,51,51,51,5,2,0,3,21/07/2017,No,,8,0
2479,No,Tipperary,Abbeyview,Abbey Road,Fethard,06/302,17/11/2006,18/11/2016,3,36,20,0,0,59,34,0,0,0,0,0,0,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,10,24,0,34,0,34,0,34,34,34,3,1,0,2,21/07/2017,No,,3,0
2486,No,Tipperary,Ivowen ,Kilsheelan,Kilsheelan,04/117,15/06/2005,14/06/2010,6,110,58,0,0,174,147,0,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,3,0,147,0,147,0,147,147,147,7,4,1,2,21/07/2017,No,,3,0
2487,No,Tipperary,Manor Court,Thomastown,Thomastown,05/747,10/10/2006,10/01/2011,0,10,0,0,0,10,3,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,8,0,4,4,4,1,0,0,1,21/07/2017,No,,3,0
2491,No,Tipperary,Kilnamanagh Manor,Dundrum,Dundrum,04/1162,26/05/2005,25/05/2010,14,36,0,0,0,50,10,1,0,2,0,11,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,9,2,9,2,9,9,9,5,2,0,3,27/07/2017,No,,1,0
2492,Yes,Tipperary,Ros Na Graine,Clogheen Rd. Magheragh,Ardfinnan,05/1228,28/08/2006,27/08/2016,13,54,0,0,0,67,6,5,0,17,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,8,8,8,11,2,0,9,21/07/2017,No,,0,0
2493,No,Tipperary,Sean Tracy Heights,Kilfeakle,Kilfeakle,05/834 & 12/65,19/12/2005 & 17/07/2012,18/12/2010 & 16/07/2017,0,16,0,0,0,16,6,3,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,8,0,9,9,9,2,2,0,0,21/07/2017,No,,2,0
2854,No,Tipperary,Coopers Close,Ballagh (Clonoulty),Cashel,03/1273,11/03/2004,10/03/2009,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27/07/2017,Yes,1,0,0
2855,No,Tipperary,Cois Taire,Curragh,Goatenbridge,05/623,30/05/2006,29/05/2011,14,6,0,0,0,20,3,6,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,9,9,9,0,2,0,0,21/07/2017,No,,3,0
2856,No,Tipperary,The Paddocks,,"Gortnahoo, Thurles",05/996,21/09/2006,20/09/2011,0,50,0,0,0,50,0,0,0,0,0,9,0,5,0,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,21/07/2017,Yes,1,0,0
2857,No,Tipperary,Ard na Sidhe,Cashel Road,Clonmel,Aug-70,13/11/2008,12/11/2013,1,6,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21/07/2017,Yes,1,0,0
2925,No,Tipperary,The Meadows,Ballyporeen,,61195,19/07/2006,13/02/2017,11,30,9,0,0,50,6,4,0,0,0,0,0,5,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,6,6,6,1,0,0,1,21/07/2017,No,,3,0
2990,No,Tipperary,Glenoir,Cullen,,7792,03/01/2008,06/02/2013,1,10,0,0,0,11,0,4,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,1,1,1,2,0,0,2,21/07/2017,No,,0,0
3080,No,Tipperary,Longfield Park,"Ardmayle East, Boherlahan,",Cashel,04/1574,27/07/2005,10/05/2018,11,40,0,0,0,51,9,17,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,26,0,26,26,26,3,3,0,0,27/07/2017,No,,9,0
2572,No,Waterford,Mount Suir Manor,Carrickphierish Road,Grace Dieu,5419,21/07/2006,20/07/2016,0,0,0,113,0,113,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,26,0,8,0,0,12,0,0,22,45,0,0,45,0,45,0,45,45,45,1,0,0,1,09/09/2017,No,,0,45
2573,No,Waterford,The Paddocks (PH. 1),GRANTSTOWN,Waterford,1003,28/06/2010,27/06/2015,12,30,56,21,0,119,62,0,0,0,0,0,0,0,0,6,0,30,21,0,0,0,0,0,0,0,0,0,0,0,0,83,0,83,0,83,0,83,83,83,6,5,0,1,09/09/2017,No,,8,0
2575,Yes,Waterford,Woodbrook,Carrickphierish Road,Grace Dieu,6313,06/10/2006,05/10/2011,17,56,50,96,96,315,53,0,4,0,2,0,0,0,0,2,0,62,42,4,0,2,0,0,0,2,0,2,0,140,79,20,0,99,0,99,0,99,99,99,8,3,0,5,09/09/2017,No,,17,0
2578,No,Waterford,Glaise Bheag,Ballyheeney,Clashmore,31432,04/11/2004,03/11/2009,0,6,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,09/09/2017,Yes,1,0,0
2586,No,Waterford,Monvoy Court,Crobally Upper,Tramore,71288,15/05/2008,14/05/2016,5,60,0,0,0,65,5,0,0,0,0,3,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,5,5,5,3,1,0,2,09/09/2017,No,,5,0
2587,No,Waterford,Newtown Park,Tramore,Tramore,11487,15/12/2011,24/05/2015,25,14,0,0,0,39,11,0,0,10,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,11,0,11,11,11,2,2,0,0,09/09/2017,No,,11,0
2594,No,Waterford,The Heritage,Dysart Grove,Ardmore,09/106,22/06/2009,24/04/2014,33,12,0,0,0,45,25,2,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,0,27,0,27,27,27,1,0,0,1,09/09/2017,No,,8,0
3040,Yes,Waterford,Ardan,Ballykinsella,Tramore,51327,22/11/2005,04/01/2011,5,0,0,0,0,5,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,3,3,0,0,0,0,09/09/2017,No,,0,0
2601,No,Westmeath,Cluain Lorcain,Ballyhealy Road,Delvin,May-80,17/11/2005,18/12/2010,1,20,15,0,0,36,7,0,0,0,0,0,0,0,0,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,2,0,9,7,7,7,1,0,0,1,27/07/2017,No,,0,0
2610,No,Westmeath,Royal Canal (Hawthorn Bank),Royal Canal,Mullingar,00/1664,05/03/2002,27/01/2012,0,115,0,189,142,446,53,0,0,2,0,0,0,0,10,0,0,50,52,0,0,0,0,0,0,0,0,0,0,279,105,0,0,105,0,105,0,105,105,105,2,2,0,0,27/07/2017,No,,0,0
2611,No,Westmeath,Ivy Court,Cloughan Road,Killucan,May-59,10/07/2006,08/07/2016,14,16,8,2,0,40,15,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,19,0,2,17,19,19,19,1,0,0,1,27/07/2017,No,,0,0
2612,No,Westmeath,Killucan Manor Phase 3,Rathwire,Killucan,1754,27/07/2006,03/06/2009,2,30,0,0,0,32,22,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,22,0,22,22,22,2,2,0,0,27/07/2017,No,,0,0
925,No,Wexford,Rath Park,Ballindaggin,Enniscorthy,2007/0557,16/04/2007,24/05/2012,0,10,0,0,0,10,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,6,6,6,1,0,0,1,02/08/2017,No,,6,0
929,No,Wexford,Berryfields,Ferns,Enniscorthy,20062544,01/09/2006,04/10/2011,30,28,0,0,0,58,43,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,42,0,42,42,42,4,3,1,0,24/07/2017,No,,23,0
931,Yes,Wexford,Carrigmacogue Park,Bree,Enniscorthy,20051242,27/10/2005,01/12/2015,24,0,0,0,0,24,14,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4,17,0,9,4,17,17,17,0,0,0,0,24/07/2017,No,,0,0
945,No,Wexford,Pairc Na Bearna,Drumgoold,Enniscorthy,20064842,10/05/2007,14/06/2012,10,16,24,0,0,50,7,1,0,4,0,6,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,7,0,8,8,8,6,2,0,4,24/07/2017,No,,1,0
952,No,Wexford,Wheelagower,Rossard,Enniscorthy,20062390,18/10/2006,22/11/2011,4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2017,Yes,1,0,0
2189,Yes,Wexford,North Quay Terrace,New Ross,New Ross,NR 03/53,08/04/2004,,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/2017,Yes,1,0,0
2681,No,Wexford,Church Wood,Kilrane,Rosslare Harbour,20063218,23/10/2006,29/11/2016,0,24,8,0,0,32,16,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,22,0,16,16,16,4,2,0,2,24/07/2017,No,,1,0
2688,No,Wexford,Coill Na Guise,Ballytegan Park,Gorey,20045083,14/06/2005,21/07/2010,3,38,24,0,0,65,0,0,0,5,0,2,0,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2017,Yes,1,0,0
2721,No,Wexford,Old Forest,Ryland Upper,Bunclody,20054148,16/03/2006,15/03/2011,7,50,0,0,0,57,44,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,0,44,0,44,0,44,44,44,3,2,0,1,02/08/2017,No,,0,0
2722,No,Wexford,Oldtown Court,Clongeen Village,Clongeen,20044388,25/05/2005,01/07/2012,15,0,0,0,0,15,10,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,9,9,9,9,5,5,0,0,24/07/2017,No,,7,0
2736,No,Wexford,Scholars Rest,Hollyfort,Gorey,20044595,09/05/2005,16/06/2015,8,0,0,0,0,8,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,8,2,2,2,0,0,0,0,02/08/2017,Yes,1,0,0
2740,No,Wexford,Shrule,Kilcomb,Gorey,20022607,21/02/2003,31/03/2008,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2017,Yes,1,0,0
2743,No,Wexford,St Martins Road,St Martins Road,Rosslare Harbour,20080033,10/03/2008,17/04/2013,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/2017,"Yes
",1,0,0
2746,No,Wexford,Streem Street,Poulmarl,Taghmon,20012862,18/06/2002,17/06/2007,1,0,5,0,0,6,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/2017,Yes,1,0,0
2749,No,Wexford,Templar's Way,Clonlard,Fethard on Sea,20072592,30/08/2007,04/10/2012,5,0,0,0,0,5,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,1,1,1,0,0,1,24/07/2017,Yes,1,0,0
2762,No,Wicklow,Ardglass,Lathaleere East,Baltinglass,99/1820,03/01/2002,08/12/2015,52,56,26,0,0,134,118,3,3,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,3,4,121,0,121,0,121,121,121,10,8,0,2,11/08/2017,No,,20,0
2766,No,Wicklow,Ballycrone Manor,Ballycrone,Kilcoole,PL216106,29/06/2006,25/10/2015,4,16,12,0,0,32,16,0,0,0,0,0,0,6,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,0,16,0,16,16,16,2,2,0,0,02/08/2017,No,,0,0
2785,No ,Wicklow,Broomhall,Broomhall,Ballynerrin,Jun-17,14/08/2008,13/08/2013,0,139,0,0,0,139,0,0,0,0,0,0,0,0,0,2,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2017,Yes,1,0,0
2803,No,Wicklow,Market Square,Main Street,Rathdrum,53375,26/07/2006,24/07/2016,4,0,18,28,0,50,0,0,0,0,0,5,0,5,0,0,0,12,0,0,0,0,0,20,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2017,Yes,1,0,0
2814,No,Wicklow,Site,Oghill Lower,Redcross,"04372, 13/8020",10/08/2005,28/02/2018,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2017,Yes,1,0,0
2815,No,Wicklow,Slaney Court,Edward Street,Baltinglass,04/1772,15/12/2005,14/12/2010,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,0,0,0,0,11/08/2017,Yes,1,0,0
2821,No,Wicklow,Viewmount ,Knockadosan,Rathdrum,"04/1200, 10/2022",22/12/2004,27/01/2012,31,48,22,0,0,101,18,2,0,0,0,0,0,0,0,14,0,67,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,13,7,20,20,20,8,1,0,7,02/08/2017,No,,0,0
2835,No,Wicklow,Mariners Point,Greenhills Road,Wicklow Town,Jun-21,30/03/2007,09/02/2015,38,8,0,0,0,46,4,1,0,5,0,0,0,0,0,21,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,10,36,10,36,10,10,10,3,1,0,2,02/08/2017,No,,4,0
2836,No,Wicklow,Priory Court,Wentworth Place,Wicklow Town,73117,13/08/2007,12/08/2012,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2017,Yes,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,,,,,,,,4922,10160,4921,4147,700,24850,7228,838,149,1120,55,471,43,723,38,854,54,8430,1533,246,1,489,4,687,56,132,21,162,16,1500,6924,3331,494,10054,514,9214,1131,9912,9900,9909,924,418,50,457,,130,130,990,315
